Year,Month,Fine,Unpaid,Count
2010,12,25.035160289555325,0.02998965873836608,967
2013,1,24.92851531814611,0.08012568735271014,1273
2013,11,24.916666666666668,0.07309941520467836,684
2014,6,24.866013071895424,0.14705882352941177,306
2012,10,24.761061946902654,0.05436156763590392,1582
2011,11,24.64,0.047058823529411764,425
2012,7,24.631818181818183,0.07272727272727272,220
2012,12,24.63071512309496,0.035169988276670575,853
2011,4,24.575414781297134,0.04675716440422323,1326
2012,5,24.52389705882353,0.058823529411764705,544
2012,4,24.43639053254438,0.0695266272189349,676
2010,9,24.329557157569514,0.04016477857878476,1942
2013,9,24.29488859764089,0.10091743119266056,763
2014,5,24.283809523809524,0.1619047619047619,525
2015,8,24.26829268292683,0.050997782705099776,451
2011,6,23.89887640449438,0.09662921348314607,445
2011,3,23.859146341463415,0.04390243902439024,1640
2013,8,23.823529411764707,0.1092436974789916,119
2012,9,23.66794380587484,0.04597701149425287,783
2013,10,23.605359317904995,0.08526187576126674,821
2010,6,23.44083969465649,0.08015267175572519,524
2011,1,23.421089879688605,0.03255484784147204,1413
2013,4,23.37721021611002,0.021611001964636542,509
2010,10,23.369426751592357,0.04076433121019108,1570
2013,5,22.917171717171716,0.046464646464646465,495
2013,12,22.787012987012986,0.08571428571428572,385
2012,6,22.742705570291776,0.07161803713527852,377
2013,6,22.43877551020408,0.030612244897959183,294
2012,11,22.044751830756713,0.07648494711147275,1229
