Day,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
1,68,24,23,21,35,45,48,,,23,237,28
2,54,19,17,20,29,59,38,40,,28,16,68
3,72,36,22,30,47,43,47,28,,36,21,30
4,62,20,32,26,45,46,203,29,,41,31,26
5,31,44,36,16,45,44,90,27,,66,32,29
6,47,48,30,20,53,40,41,33,,44,53,26
7,66,25,20,28,30,32,49,28,,40,33,22
8,53,16,26,51,23,37,46,31,,49,29,42
9,46,17,28,31,27,65,117,36,,178,22,38
10,38,22,52,25,24,68,42,33,,186,62,50
11,51,55,18,48,21,61,26,43,78,76,27,38
12,21,56,32,38,24,180,33,46,59,96,27,49
13,41,47,38,35,34,164,31,41,52,92,28,11
14,62,54,57,23,128,34,119,24,43,46,60,17
15,75,66,20,31,59,34,64,32,58,,25,29
16,62,48,21,24,57,47,58,30,70,35,21,26
17,66,57,101,28,84,25,48,35,57,200,29,42
18,75,51,22,39,79,35,58,80,70,78,39,27
19,52,42,29,35,32,37,59,34,89,26,62,28
20,86,32,34,36,60,44,49,25,54,28,60,21
21,80,47,38,38,81,42,39,40,31,45,55,14
22,81,39,29,673,52,37,34,,32,28,20,10
23,97,35,23,19,47,47,,,35,38,15,24
24,65,67,37,30,25,37,,,42,33,16,20
25,64,43,39,175,25,50,,,37,37,34,10
26,46,35,57,55,28,57,,,52,80,37,20
27,68,31,16,22,77,29,,,26,29,31,33
28,58,45,26,29,81,47,,,15,39,28,23
29,47,,26,22,57,55,,,22,49,32,16
30,21,,44,30,47,40,,,22,41,20,22
31,27,,21,,82,,,,,40,,34
