Day,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
1,.5,1.3,.6,.2,.3,.3,.4,.3,.3,.1,.8,1.2
2,.4,1.0,.7,.2,.3,.2,.5,.3,.4,.3,.6,1.3
3,.7,1.0,.9,.4,.4,.3,.3,.3,.4,.3,.4,1.3
4,.7,.6,.8,.2,.4,.3,.4,.3,.3,.3,.4,.8
5,.3,.6,.4,.4,.4,.3,.3,.2,.5,.5,.4,1.0
6,.6,.4,.4,.3,.2,.3,.3,.3,.6,.3,.5,1.1
7,.5,.3,.7,.2,.2,.3,.3,.3,.5,.3,.6,1.0
8,.8,.7,.6,.1,.2,.2,.3,.3,.3,.4,.9,1.2
9,.5,.4,.7,.2,.3,.3,.2,.2,.3,.3,1.0,1.3
10,.3,.3,.6,.3,.2,.2,.3,.2,.3,.4,.9,1.3
11,.3,.5,.5,.5,.2,.2,.3,.3,.4,.5,.9,1.3
12,.7,.6,.5,.4,.3,.2,.3,.2,.4,.5,.9,1.6
13,.6,.6,.7,.4,.2,.2,.3,.2,.3,.6,1.0,1.6
14,.6,.8,.8,.2,.2,.3,.3,.2,.1,.5,1.1,.8
15,.3,.7,.7,.2,.4,.3,.3,.2,.3,.5,1.0,1.1
16,.3,.7,.4,.2,.2,.3,.3,.3,.3,.8,1.0,1.2
17,.4,.6,.5,.2,.3,.3,.3,.4,.3,.7,.5,.4
18,.7,.3,.4,.4,.2,.2,.3,.3,.3,.7,.8,.7
19,.7,.4,.4,.2,.3,.3,.3,.3,.1,.7,.8,1.0
20,.6,.4,.6,.3,.3,.3,.3,.2,.3,.4,1.3,1.0
21,.5,.3,.5,.3,.3,.3,.3,.3,.2,.4,1.4,.3
22,.5,.5,.3,.3,.4,.3,.3,.3,.2,.5,1.0,.5
23,.3,.5,.4,.4,.3,.3,.3,.3,.2,.5,1.1,.5
24,.5,.4,,.4,.3,.3,.3,.2,.1,.6,.8,.4
25,.3,.6,.2,.3,.2,.3,.2,.3,.3,.8,1.0,.9
26,.4,.6,.1,.4,.3,.3,.2,.3,.4,.8,1.0,.9
27,.5,.5,.2,.2,.3,.2,.2,.3,.4,.5,.7,1.0
28,.5,.6,.2,.3,.3,.3,.3,.5,.3,.6,.9,1.0
29,.6,,.3,.3,.3,.3,.3,.4,.3,.6,1.0,1.1
30,1.0,,.3,.3,.3,.3,.2,.3,.3,.8,1.2,
31,1.0,,.2,,.3,,.3,.3,,.6,,
